,Short_description,Description,Caller,Assignment_group,clean_desc
117,ticket update on ticket_no0454269,ticket update on ticket_no0454269,fumkcsji sarmtlhy,0,ticket update ticketno
118,unable to display expense report,unable to display expense report,ncksqfmz fzcjunai,0,unable display expense reportunable report
119,password reset for upitdmhz owupktcg cruzjc,password reset for upitdmhz owupktcg cruzjc,uazkjifp dhtnevcq,0,password reset for upitdmhz owupktcg cruzjcpassword cruzjc
120,unable to login in benefits tab,unable to login in benefits tab,bsmjflrp bvslpafi,0,unable login benefit tabunable tab
121,"hello, i'm having an issue with my outlook view.  can you call me and let me share my screen?","hello, i'm having an issue with my outlook view.  can you call me and let me share my screen?",ndaoxbvi szxlciue,0,iam have issue with outlook view can - call and let share screen
122,unable to access mails ,unable to access mails ,cdfqvlzu jzmwuirn,0,unable access mail
123,unable to display expense report,unable to display expense report,rbozivdq gmlhrtvp,0,unable display expense reportunable report
124,mobile device activation,"from: tvcdfqgp nrbcqwgj 
sent: friday, october 28, 2016 3:13 pm
to: nwfodmhc exurcwkm
subject:  se ha bloqueado en forma temporal la sincronizaciÃ³n de su dispositivo mÃ³vil mediante exchange activesync hasta que su administrador autorice el acceso.

hi

i received this message and our local it expert has told me to open a ticket.

",tvcdfqgp nrbcqwgj,0,mobile device activation tvcdfqgp nrbcqwgj friday october nwfodmhc exurcwkm bloqueado forma temporal sincronizacia dispositivo vil mediante exchange activesync hasta que administrador autorice acceso this message and - local expert have tell open ticket
125,internal keybankrd will not work after cs nor will an external usb keybankrd.,internal keybankrd will not work after cs nor will an external usb keybankrd.,hefiuwvo lcgadsef,23,internal keybankrd will not work after nor external usb
126,blank call //gso,blank call //gso,rbozivdq gmlhrtvp,0,blank call gsoblank gso
127,update on inplant_874269,update on inplant_874269,rbozivdq gmlhrtvp,0,update inplant
128,password change thru password_management_tool password manager,"

received from: jvpkulxw.ovuweygj@gmail.com

hello sir,

i tried to change my password thru above. i  got below error. pl help know what action to be taken further to ensure all passwords are same everywhere since belo wmsg says all passwords were not changed.

[cid:image001.jpg@01d2316b.5ff15980]

",jvpkulxw ovuweygj,0,password change thru passwordmanagementtool manager sir try above get below error help know what action take further ensure all be same everywhere since belo wmsg say not cid
129,unlock personal number in ess,unlock personal number in ess,ltsqkane ycgwexdf,0,unlock personal number essunlock ess
130,intermittent service on configair server in SID_34 requires probably a restart on production server,"intermittent service on configair server in SID_34 requires probably a restart on production server. 
the error occurs in production and shows ""500 internal serrver error. error: while trying to invoke the method java.util.list.iterator() of null object loaded from local variable 'local list'""
the issue can be reproduced in production e.g.:
a) company customer e.g.# 81510728 and base material mm3716934 (hss/pm finishing)
b) company customer e.g. .# 81510728 and starting from scratch. i can select a product platform e.g. hp hss/pm roughing, but the screen freezes.
c) log-on language different ""en"", e.g. ""de"". company customer e.g. 81124199; base material e.g. 5157483. 
we had this issues already several times before and it needed always a restart of the server. thryeu is a good contact person for this issue as he was already working on the root cause with our external vendor configair.
",iavozegx jpcudyfi,6,intermittent service configair server sid require probably restart production serverintermittent the error occur and show internal serrver while try invoke method java util list iterator null object load local variable issue can reproduce company customer base material hss finish start scratch select product platform rough but screen freeze log language different have this already several time before need always thryeu good contact person for be work root cause with - external vendor
131,unable to access vpn,unable to access vpn,vtnkwxhr tqxrglvh,0,unable access vpnunable vpn
132,unable to open outlook,unable to open outlook,kcagqjyv ojhulmes,0,unable open outlookunable outlook
133,install driver in printer hr14 in HostName_769,install driver in printer hr14 in HostName_769,bihypqsn kbaegpcd,0,install driver printer host
134,unable to send emails from outbox,unable to send emails from outbox,dijxefrq nbgykjpr,0,unable send email outboxunable outbox
135,access to business_client drawings,"name:xvgftyr tryfuh
language:
browser:microsoft internet explorer
email:cnkoflhi.abeoucfj@gmail.com
customer number:
summary:i cannot seem to access the drawings from the netweaver application that is installed on my computer.  it doesn't take me to the same page that my colleagues have.",rbozivdq gmlhrtvp,0,access businessclient drawing xvgftyr tryfuh language browser microsoft internet explorer email customer number summary can not seem the netweaver application that instal computer do take same page colleague have
136,taking off email permissions from personal phone,"name:vdhfy
language:
browser:microsoft internet explorer
email:dcvphjru.ybomrjst@gmail.com
customer number:
summary:i have scrapped the old phone. my mail was configured in it. can you take off the permissions set to view mails on that phone",dcvphjru ybomrjst,0,take off email permission personal phone vdhfy language browser microsoft internet explorer customer number summary have scrap the old mail be configure can - set view that
137,job Job_1854 failed in job_scheduler at: 10/28/2016 11:06:00  ,"received from: monitoring_tool@company.com

job Job_1854 failed in job_scheduler at: 10/28/2016 11:06:00",bpctwhsn kzqsbmtp,72,job fail jobscheduler
138,job Job_1879 failed in job_scheduler at: 10/28/2016 11:01:00  ,"received from: monitoring_tool@company.com

job Job_1879 failed in job_scheduler at: 10/28/2016 11:01:00",bpctwhsn kzqsbmtp,72,job fail jobscheduler
139,unable to view payslips in ie,unable to view payslips in ie,bdgaxriq iltbozkw,0,unable view payslip ieunable
140,prtgghj4k45 password reset,please reset hr_tool gv4536 password reset. ,qcehailo wqynckxg,0,prtgghj password resetplease reset hrtool
141,channel partner receiving multiple emails from erp--- urgent,"hi,
our channel partner with the email address djhadkudhd@gmail.com, received 50 emails regarding the pos error in a matheywter of 30 milliseconds.  he is very angry, this needs to be fixed aerp.  attached is a file extracted from erp documenting the 50 emails.  ",qcfmxgid jvxanwre,7,channel partner receive multiple email erp urgenthi - with the address regard pos error matheywter milli very angry this need fix aerp attach file extract document
142,usa - (company) : interface fastethernet0/16 & gigabitethernet1/0/18 is down since  09:23 pm et on 09/28.,usa - (company) : interface fastethernet0/16 & gigabitethernet1/0/18 is down since  09:23 pm et on 09/28.,jyoqwxhz clhxsoqy,72,usa company interface fastethernet gigabitethernet down since
143,password reset,"

received from: qtrmxlgv.dfruzvam@gmail.com

good morning,

i have forgotten my password for erp SID_1.  i have made 3 attempts and failed.  could you please reset.  my user id is dgrtrkjs123.

",qtrmxlgv dfruzvam,0,password reset good have forget for erp sid make attempt and fail could - please user dgrtrkjs
144,ess login issue,"ess login issue
-verified user details.(employee# & manager name)
-checked the user name in ad and reset the password.
-advised the user to login and check.
-caller confirmed that he was able to login.
-issue resolved.",ukzfqjet zcbhpweo,0,ess login issueess issue verified user detail employee manager check the and reset password advise caller confirm that be able resolve
145,unable to start dell 7350 2 in 1 device,qifzkoej etbmgjvo is unable to start his dell 7350 2 in 1 tablet device. ,qifzkoej etbmgjvo,0,unable start dell deviceqifzkoej etbmgjvo - tablet device
146,erp_print_tool install.,erp_print_tool install.,aorthyme rnsuipbk,0,erpprinttool install
147,good morning. i am having trouble getting into my vpn,"name:wvngzrca sfmrzdth
language:
browser:microsoft internet explorer
email:wvngzrca.sfmrzdth@gmail.com
customer number:
summary:good morning. i am having trouble getting into my vpn
can you assist",wvngzrca sfmrzdth,0,good have trouble get into vpn wvngzrca sfmrzdth language browser microsoft internet explorer email customer number summary can - assist
148,install acrobat standard,install acrobat standard,iefgkray zdyksvpw,0,install acrobat standardinstall standard
149,password reset from ad,password reset from ad,rbozivdq gmlhrtvp,0,password reset adpassword
150,reset the password for wseacnvi azvixyqg on erp / qa / erp,please reset my password to SID_1. it's blocked. login  - jdhdw345 . ,wseacnvi azvixyqg,0,reset the password for wseacnvi azvixyqg erp erpplease sid block login jdhdw
151,i used to have acces to this location on collaboration_platform.  now i do not. i need access.,"

received from: bwfhtumx.japznrvb@gmail.com



[cid:image001.jpg@01d230f7.8bb4e830]

bwfhtumx japznrvb 
regional controller
bwfhtumx.japznrvb@gmail.com<mailto:bwfhtumx.japznrvb@gmail.com>



",bwfhtumx japznrvb,8,use have acce this location collaborationplatform now not need access cid bwfhtumx japznrvb regional controller mailto
152,crm add-in is getting disabled from outlook ,crm add-in is getting disabled from outlook ,lrbjqcmh jbiwtzqr,0,crm add get disabled outlook
153,outlook hangs.,outlook hangs.,rjsulvat uanigkqc,0,outlook hang
154,vpn not working.,vpn not working.,vtnkwxhr tqxrglvh,0,vpn not work
155,reset passwords for hckvpary emxbpkwy using password_management_tool password reset.,"employee is getting an error ""user authentication failed"" when trying to log into the ess portal.  she is able to access erp and is able to access the hub.  tried to reset and change her password through password_management_tool password manager but got an error  ""cannot find account [woodscf] on target [active directory].""

her user id is hdjdkt123",hckvpary emxbpkwy,9,reset password for hckvpary emxbpkwy use passwordmanagementtool employee get error user authentication fail when try log into the ess portal - able access erp and hub change through manager but can not find account woodscf target active directory hdjdkt
156,job bkbackup_tool_sql_prod_inc failed in job_scheduler at: 10/28/2016 07:41:00  ,"received from: monitoring_tool@company.com

job bkbackup_tool_sql_prod_inc failed in job_scheduler at: 10/28/2016 07:41:00",bpctwhsn kzqsbmtp,72,job bkbackuptoolsqlprodinc fail jobscheduler
157,ess password reset,ess password reset,mtgujlcb kczyvpqr,0,ess password resetess reset
158,wy123 printer,"

received from: nxhwyepl.mudstbxo@gmail.com

please note some continuous erp printing is happening in printer wy123. the print is not given locally please arrange to cancel the same immediately as lot of paper is getting wasted.

",nxhwyepl mudstbxo,0,printer please note some continuous erp printing happen the print not give locally arrange cancel same immediately lot paper get waste
159,update java viewer ?,"

received from: uijxpazn.gvtzlphs@gmail.com

dear all,

java viewer is not working any more. i need access to view scanned inwarehouse_tools in erp.

i assume java update is required ?

[cid:image001.png@01d2311b.deaf3cb0]


best ",uijxpazn gvtzlphs,0,update java viewer dear all not work any more need access view scan inwarehousetool erp assume require cid best
160,job Job_137 failed in job_scheduler at: 10/28/2016 06:38:00  ,"received from: monitoring_tool@company.com

job Job_137 failed in job_scheduler at: 10/28/2016 06:38:00",bpctwhsn kzqsbmtp,45,job fail jobscheduler
161,HostName_1297 is currently experiencing high cpu utilization. please investigate!,"we are observing below alert in monitoring_tool:

HostName_1297 is currently experiencing high cpu utilization. please investigate!",jloygrwh acvztedi,6,host currently experience high cpu utilization please investigate be observe below alert monitoringtool
